Maze Size,DFS Length,BFS Length,A* Length
15,73,69,69
15,85,57,57
15,61,61,61
15,89,57,57
15,121,61,61
15,85,61,61
15,77,57,57
15,65,61,61
15,137,57,57
15,121,65,65
15,89,69,69
15,89,57,57
15,85,57,57
15,85,81,81
15,141,77,77
15,69,69,69
15,77,61,61
15,73,57,57
15,85,73,73
15,69,69,69
15,85,65,65
15,57,57,57
15,61,57,57
15,93,61,61
15,81,57,57
15,61,57,57
15,85,61,61
15,65,61,61
15,57,57,57
15,73,57,57
15,85,61,61
15,89,61,61
15,73,57,57
15,85,61,61
15,65,57,57
15,81,69,69
15,81,57,57
15,57,57,57
15,101,57,57
15,113,57,57
15,85,73,73
15,65,57,57
15,57,57,57
15,105,69,69
15,65,57,57
15,101,61,61
15,77,57,57
15,101,69,69
15,61,57,57
15,65,57,57
15,73,57,57
15,57,57,57
15,73,65,65
15,105,65,65
15,93,65,65
15,85,61,61
15,93,57,57
15,93,57,57
15,129,65,65
15,69,57,57
15,101,61,61
15,85,77,77
15,97,61,61
15,101,73,73
15,61,57,57
15,57,57,57
15,89,57,57
15,77,69,69
15,85,57,57
15,69,69,69
15,85,65,65
15,85,69,69
15,153,61,61
15,97,65,65
15,65,57,57
15,73,57,57
15,113,65,65
15,81,57,57
15,109,61,61
15,77,57,57
15,77,61,61
15,69,57,57
15,85,65,65
15,117,61,61
15,73,65,65
15,73,69,69
15,93,57,57
15,57,57,57
15,65,57,57
15,77,57,57
15,85,65,65
15,73,57,57
15,61,57,57
15,85,57,57
15,93,61,61
15,77,73,73
15,57,57,57
15,129,65,65
15,73,61,61
15,77,57,57
25,261,97,97
25,213,101,101
25,169,121,121
25,181,101,101
25,117,113,113
25,165,105,105
25,169,101,101
25,197,97,97
25,113,101,101
25,157,105,105
25,125,101,101
25,181,109,109
25,201,113,113
25,145,105,105
25,237,105,105
25,185,101,101
25,253,101,101
25,189,109,109
25,181,101,101
25,113,109,109
25,293,129,129
25,237,101,101
25,133,109,109
25,169,105,105
25,105,105,105
25,137,97,97
25,201,101,101
25,189,105,105
25,129,101,101
25,185,97,97
25,121,109,109
25,141,105,105
25,169,101,101
25,137,109,109
25,129,109,109
25,237,113,113
25,181,101,101
25,165,105,105
25,177,125,125
25,149,105,105
25,121,105,105
25,209,133,133
25,157,97,97
25,225,113,113
25,185,109,109
25,257,109,109
25,189,109,109
25,173,97,97
25,197,101,101
25,153,113,113
25,189,101,101
25,173,101,101
25,157,113,113
25,125,97,97
25,113,97,97
25,193,105,105
25,129,101,101
25,253,109,109
25,233,101,101
25,165,113,113
25,205,101,101
25,153,109,109
25,181,109,109
25,345,101,101
25,113,109,109
25,133,105,105
25,197,109,109
25,177,97,97
25,117,97,97
25,177,101,101
25,145,101,101
25,157,97,97
25,257,101,101
25,229,105,105
25,145,101,101
25,137,109,109
25,177,117,117
25,181,105,105
25,169,117,117
25,273,97,97
25,113,101,101
25,121,109,109
25,145,97,97
25,137,113,113
25,257,113,113
25,101,97,97
25,269,113,113
25,261,117,117
25,165,105,105
25,189,133,133
25,193,101,101
25,185,97,97
25,153,113,113
25,141,101,101
25,201,105,105
25,145,97,97
25,201,97,97
25,205,105,105
25,117,97,97
25,261,97,97
50,681,213,213
50,589,213,213
50,437,229,229
50,629,213,213
50,289,217,217
50,657,209,209
50,541,221,221
50,413,197,197
50,557,229,229
50,489,237,237
50,509,221,221
50,489,233,233
50,497,205,205
50,521,205,205
50,473,249,249
50,601,229,229
50,573,221,221
50,689,217,217
50,681,213,213
50,493,225,225
50,545,213,213
50,477,221,221
50,461,249,249
50,457,221,221
50,565,213,213
50,741,229,229
50,705,201,201
50,417,233,233
50,613,201,201
50,489,221,221
50,625,213,213
50,309,225,225
50,289,233,233
50,445,225,225
50,601,209,209
50,361,201,201
50,561,249,249
50,617,217,217
50,529,209,209
50,309,201,201
50,533,225,225
50,393,221,221
50,629,217,217
50,485,209,209
50,921,221,221
50,337,213,213
50,561,213,213
50,581,209,209
50,941,209,209
50,641,229,229
50,301,213,213
50,357,213,213
50,269,205,205
50,773,221,221
50,549,237,237
50,805,209,209
50,385,217,217
50,357,217,217
50,873,229,229
50,645,209,209
50,669,221,221
50,381,213,213
50,597,209,209
50,589,229,229
50,369,221,221
50,897,233,233
50,693,229,229
50,593,209,209
50,469,217,217
50,765,241,241
50,393,213,213
50,417,253,253
50,289,237,237
50,665,209,209
50,301,201,201
50,517,205,205
50,393,209,209
50,553,241,241
50,521,205,205
50,489,197,197
50,357,217,217
50,485,217,217
50,433,213,213
50,409,217,217
50,585,213,213
50,401,209,209
50,525,233,233
50,573,225,225
50,493,209,209
50,545,213,213
50,797,213,213
50,385,229,229
50,721,213,213
50,305,209,209
50,325,197,197
50,465,209,209
50,577,205,205
50,361,201,201
50,489,229,229
50,753,257,257
